ID;USERID;SHOPCOUNT;PRODUCTCOUNT;TOTALCOUNT;TIME;IPCOUNT
32400485;016294-3            ;1;46;47;20140812;37
32400486;shop_112513         ;2;1;3;20140812;3
32400487;0434767A4           ;1;2;3;20140812;3
32400488;0445979             ;10;142;152;20140812;17
32400489;0442581A            ;1;1;2;20140812;2
32400490;01A9255             ;10;32;42;20140812;18
32400491;0570461             ;0;9;9;20140812;9
32400492;0441292B            ;1;10;11;20140812;6
32400493;0326703             ;1;2;3;20140812;3
32400494;0438314             ;1;6;7;20140812;7
32400495;01A2521A            ;2;2;4;20140812;3
32400496;0321117             ;0;2;2;20140812;2
32400497;shop_117044         ;0;22;22;20140812;12
32400498;shop_99653          ;0;4;4;20140812;4
32400499;0444321A            ;0;3;3;20140812;3
32400500;0218779             ;2;2;4;20140812;4
32400501;01A9225             ;2;1;3;20140812;2
32400502;0216972             ;1;13;14;20140812;14
32400503;01A3834A            ;0;3;3;20140812;3
32400504;0447213             ;0;3;3;20140812;3
32400505;01A8223B2           ;1;2;3;20140812;3
32400506;0219368             ;1;3;4;20140812;4
32400507;01A5539B            ;29;108;137;20140812;34
32400508;Y2-0499A            ;1;1;2;20140812;2
32400509;shop_127914         ;0;2;2;20140812;2
32400510;0326051             ;0;5;5;20140812;5
32400511;shop_115538         ;4;17;21;20140812;16
32400512;0435343B            ;2;11;13;20140812;12
32400513;0321127             ;0;9;9;20140812;9
32400514;shop_109834         ;1;2;3;20140812;3
32400515;0442229             ;4;25;29;20140812;23
32400516;0324814A            ;0;8;8;20140812;4
32400517;0217941B            ;2;33;35;20140812;27
32400518;Y4-0201             ;0;2;2;20140812;2
32400519;0560334             ;1;1;2;20140812;2
32400520;01A2570             ;0;1;1;20140812;1
32400521;0446051             ;0;1;1;20140812;1
32400522;0219513             ;0;5;5;20140812;2
32400523;02169641            ;0;6;6;20140812;4
32400524;0217870             ;2;10;12;20140812;11
32400525;NM10854A            ;3;6;9;20140812;5
32400526;0570781             ;0;1;1;20140812;1
32400527;0326573             ;4;186;190;20140812;103
32400528;Y5-0051A            ;23;161;184;20140812;77
32400529;0325417             ;0;8;8;20140812;7
32400530;01A1439             ;1;7;8;20140812;6
32400531;0440821             ;0;1;1;20140812;1
32400532;0321152             ;1;5;6;20140812;4
32400533;0213992B            ;0;2;2;20140812;2
32400534;shop_96557          ;0;6;6;20140812;6
32400535;0435815             ;0;44;44;20140812;26
32400536;0326322             ;2;6;8;20140812;5
32400537;0217594             ;12;27;39;20140812;15
32400538;0448584             ;0;6;6;20140812;6
32400539;0219021             ;2;3;5;20140812;4
32400540;01A2100B            ;0;5;5;20140812;4
32400541;0442586A            ;1;2;3;20140812;2
32400542;01AAA65A            ;0;3;3;20140812;3
32400543;0445758             ;0;2;2;20140812;2
32400544;01A5518             ;2;3;5;20140812;5
32400545;shop_110998         ;1;1;2;20140812;2
32400546;0562285             ;0;1;1;20140812;1
32400547;0326017             ;0;1;1;20140812;1
32400548;0217638             ;1;9;10;20140812;8
32400549;02150601            ;0;1;1;20140812;1
32400550;0441916             ;2;42;44;20140812;24
32400551;Y1-0544A            ;0;7;7;20140812;6
32400552;0569042             ;0;3;3;20140812;3
32400553;0212301             ;1;16;17;20140812;9
32400554;03218222            ;0;1;1;20140812;1
32400555;0562230             ;6;318;324;20140812;152
32400556;0210577B            ;0;5;5;20140812;4
32400557;0328513             ;1;3;4;20140812;4
32400558;0219487             ;2;12;14;20140812;11
32400559;0435058             ;1;13;14;20140812;7
32400560;01A2187             ;6;8;14;20140812;12
32400561;0443993             ;3;8;11;20140812;9
32400562;0327752             ;3;20;23;20140812;18
32400563;01F3-178            ;2;21;23;20140812;15
32400564;0434871             ;0;2;2;20140812;2
32400565;Y1-0542B            ;0;3;3;20140812;3
32400566;0447644             ;0;1;1;20140812;1
32400567;01A53381            ;0;1;1;20140812;1
32400568;01A4805B            ;0;1;1;20140812;1
32400569;0322360             ;0;2;2;20140812;2
32400570;0561495             ;2;23;25;20140812;19
32400571;01AAA15B            ;0;3;3;20140812;2
32400572;Y5-0214B            ;26;111;137;20140812;49
32400573;0216321             ;0;2;2;20140812;2
32400574;01A6905             ;4;21;25;20140812;22
32400575;0215317             ;0;3;3;20140812;3
32400576;01F3-028            ;4;6;10;20140812;6
32400577;0323837             ;0;12;12;20140812;12
32400578;0434901A1           ;6;22;28;20140812;15
32400579;01AA176A            ;0;2;2;20140812;2
32400580;0434271B            ;1;7;8;20140812;6
32400581;shop_120550         ;1;3;4;20140812;2
32400582;0561397             ;3;34;37;20140812;21
32400583;0323566             ;1;6;7;20140812;6
32400584;0568274             ;0;39;39;20140812;24
32400585;0328231-3           ;1;3;4;20140812;3
32400586;0560686             ;6;24;30;20140812;21
32400587;0326022             ;2;1;3;20140812;2
32400588;0217905             ;0;3;3;20140812;3
32400589;01A2135A            ;1;25;26;20140812;17
32400590;Y3-0060A            ;0;2;2;20140812;2
32400591;0328275             ;1;45;46;20140812;38
32400592;01AA452             ;0;1;1;20140812;1
32400593;shop_103508         ;2;5;7;20140812;6
32400594;0321830B            ;36;79;115;20140812;65
32400595;0219501             ;8;63;71;20140812;47
32400596;0216015             ;7;65;72;20140812;57
32400597;01A27391            ;2;1;3;20140812;3
32400598;0322255             ;0;1;1;20140812;1
32400599;Y1-0050A            ;0;3;3;20140812;3
32400600;0321207             ;0;2;2;20140812;2
32400601;0436450             ;0;22;22;20140812;12
32400602;01A1827A            ;0;2;2;20140812;2
32400603;0210539             ;17;67;84;20140812;44
32400604;0435903             ;1;9;10;20140812;9
32400605;Y4-0616A            ;0;1;1;20140812;1
32400606;0560598             ;5;99;104;20140812;63
32400607;0447173             ;0;8;8;20140812;3
32400608;0445279             ;0;2;2;20140812;2
32400609;0324222             ;2;29;31;20140812;21
32400610;0435632             ;3;6;9;20140812;6
32400611;01A7691             ;2;42;44;20140812;4
32400612;0439331             ;1;34;35;20140812;26
32400613;01A3936             ;0;2;2;20140812;2
32400614;0211939             ;0;2;2;20140812;2
32400615;05707951            ;1;33;34;20140812;21
32400616;01A4430             ;1;26;27;20140812;24
32400617;shop_116838         ;1;30;31;20140812;21
32400618;shop_106047         ;0;2;2;20140812;2
32400619;0434192             ;7;2;9;20140812;6
32400620;0448050             ;0;1;1;20140812;1
32400621;shop_97991          ;1;12;13;20140812;13
32400622;0212725             ;0;1;1;20140812;1
32400623;0321703             ;1;3;4;20140812;3
32400624;0436245             ;2;17;19;20140812;10
32400625;0323935B            ;0;5;5;20140812;5
32400626;0432464             ;6;27;33;20140812;11
32400627;0440334             ;0;4;4;20140812;4
32400628;0431820             ;11;35;46;20140812;26
32400629;01A5430A            ;0;5;5;20140812;3
32400630;0212359A            ;1;4;5;20140812;4
32400631;shop_103889         ;34;51;85;20140812;28
32400632;0214325             ;0;4;4;20140812;4
32400633;0215341             ;1;12;13;20140812;13
32400634;0432834A            ;0;2;2;20140812;2
32400635;0322107A            ;0;1;1;20140812;1
32400636;0216864             ;0;6;6;20140812;5
32400637;Y4-0484A            ;1;5;6;20140812;6
32400638;0570613             ;2;31;33;20140812;18
32400639;0446260             ;0;14;14;20140812;6
32400640;0445613A            ;0;7;7;20140812;7
32400641;01A1876A            ;1;16;17;20140812;15
32400642;01AA351             ;1;2;3;20140812;3
32400643;0436104A            ;0;3;3;20140812;3
32400644;0214939             ;0;1;1;20140812;1
32400645;0437023A01          ;0;1;1;20140812;1
32400646;01A87742            ;0;4;4;20140812;2
32400647;0212615             ;0;2;2;20140812;2
32400648;01A3062             ;3;2;5;20140812;3
32400649;Y1-0143B2           ;0;1;1;20140812;1
32400650;0432665B            ;3;8;11;20140812;10
32400651;0218382B            ;6;49;55;20140812;34
32400652;0448226             ;2;72;74;20140812;22
32400653;0565844             ;1;2;3;20140812;2
32400654;0440800             ;0;2;2;20140812;2
32400655;01A2289             ;0;4;4;20140812;4
32400656;01A3552             ;0;1;1;20140812;1
32400657;0218085             ;0;2;2;20140812;2
32400658;01A3615             ;0;1;1;20140812;1
32400659;01A2201B            ;3;24;27;20140812;22
32400660;Y5-0429A            ;0;3;3;20140812;3
32400661;0321143             ;0;5;5;20140812;5
32400662;0435065             ;1;3;4;20140812;4
32400663;0328772             ;10;24;34;20140812;21
32400664;0448550A            ;0;10;10;20140812;10
32400665;01A48792            ;0;4;4;20140812;1
32400666;0328280             ;1;2;3;20140812;2
32400667;01A52362            ;3;35;38;20140812;18
32400668;02145651            ;1;12;13;20140812;10
32400669;0214208             ;1;4;5;20140812;4
32400670;01A6125             ;0;12;12;20140812;12
32400671;0216951             ;0;2;2;20140812;2
32400672;01A1571A            ;0;1;1;20140812;1
32400673;0218655A            ;10;16;26;20140812;13
32400674;0441414B            ;0;3;3;20140812;3
32400675;03A1150             ;0;1;1;20140812;1
32400676;0438683A            ;0;3;3;20140812;3
32400677;Y3-0185             ;0;1;1;20140812;1
32400678;01A5300B            ;1;1;2;20140812;2
32400679;0213977B            ;0;2;2;20140812;2
32400680;shop_102849         ;0;22;22;20140812;15
32400681;shop_103523         ;0;2;2;20140812;2
32400682;0218090             ;7;107;114;20140812;44
32400683;01A1555A            ;0;2;2;20140812;2
32400684;0326661             ;0;2;2;20140812;2
32400685;0448958             ;0;1;1;20140812;1
32400686;0327927B            ;0;19;19;20140812;17
32400687;0442431A            ;2;8;10;20140812;7
32400688;01A5004B            ;0;2;2;20140812;2
32400689;01A7547A            ;2;2;4;20140812;3
32400690;shop_120996         ;2;4;6;20140812;6
32400691;Y5-0511A            ;0;2;2;20140812;2
32400692;01A35961            ;0;2;2;20140812;1
32400693;0442934             ;0;1;1;20140812;1
32400694;Y4-0162A            ;0;5;5;20140812;5
32400695;01A6721B            ;0;4;4;20140812;1
32400696;01A8594             ;0;1;1;20140812;1
32400697;01F3-062            ;2;4;6;20140812;5
32400698;shop_119434         ;3;11;14;20140812;7
32400699;0570561             ;8;76;84;20140812;49
32400700;01A4234             ;2;8;10;20140812;5
32400701;0436827             ;4;8;12;20140812;9
32400702;0436464             ;0;15;15;20140812;9
32400703;0211119A            ;0;1;1;20140812;1
32400704;01A4230A            ;1;3;4;20140812;3
32400705;0434860A            ;1;3;4;20140812;4
32400706;0322847             ;1;2;3;20140812;3
32400707;01A2498             ;0;2;2;20140812;2
32400708;01A7146             ;3;4;7;20140812;3
