ip;sub_ip;vist_time;firtst_visit_time;yiwugouid;session_id_year;session_id;url_layer1;url_layer2;url_layer3;num_before_qm;url;param1_name;param1_value;param2_name;param2_value;agent;status;visit_url;action_name;referer;visit_referer;fileid;ts;host_name;server_name;num;ip_1;sub_ip_1
106.38.199.16;42.62.36.236;2014/10/12 23:33:27.000;0;-;-;-;robots.txt;;;;/robots.txt;;;;;Mozilla/5.0 ();404;/robots.txt;;-;-;129;2014/10/13 00:54:01.000;ukr.yiwubuy.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:30:49.000;0;-;-;-;product;detail;;924125184;/product/detail/924125184.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";405;/product/detail/;;-;-;130;2014/10/13 00:54:10.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:32:31.000;0;-;-;-;product;detail;;924125184;/product/detail/924125184.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 00:54:16.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:32:47.000;0;-;-;-;product;detail;;925081562;/product/detail/925081562.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 00:54:17.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:32:49.000;0;-;-;-;product;detail;;925067188;/product/detail/925067188.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 00:54:17.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:33:07.000;0;-;-;-;product;detail;;924801875;/product/detail/924801875.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";302;/product/detail/;;-;-;130;2014/10/13 00:54:18.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:33:13.000;0;-;-;-;product;detail;;924990144;/product/detail/924990144.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 00:54:19.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:33:23.000;0;-;-;-;product;detail;;924287304;/product/detail/924287304.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 00:54:19.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:33:33.000;0;-;-;-;product;detail;;925066541;/product/detail/925066541.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 00:54:20.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:33:42.000;0;-;-;-;hu;;;0563250A;/hu/0563250A.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/hu/;;-;-;130;2014/10/13 00:54:20.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:33:51.000;0;-;-;-;product;detail;;923621556;/product/detail/923621556.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 00:54:21.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:34:03.000;0;-;-;-;product;detail;;924005410;/product/detail/924005410.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 00:54:22.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:34:13.000;0;-;-;-;z;2.html;;;/z/2.html?subMarket=1004;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/z/2.html;;-;-;130;2014/10/13 00:54:22.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:34:26.000;0;-;-;-;tousu;;;0323562;/tousu/0323562.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/tousu/;;-;-;130;2014/10/13 00:54:23.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:34:37.000;0;-;-;-;product;detail;;923690826;/product/detail/923690826.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 00:54:24.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:34:58.000;0;-;-;-;tousu;;;NM10527;/tousu/NM10527.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/tousu/;;-;-;130;2014/10/13 00:54:25.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:35:08.000;0;-;-;-;product;detail;;924649644;/product/detail/924649644.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 00:54:25.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:35:10.000;0;-;-;-;product;detail;;924008748;/product/detail/924008748.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 00:54:25.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 00:35:19.000;0;-;-;-;product;detail;;924959715;/product/detail/924959715.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 00:54:26.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
