ID;USERID;SHOPCOUNT;PRODUCTCOUNT;TOTALCOUNT;TIME;IPCOUNT;BOOTH_ID;SUBINDUSTRY;SUBMARKET;SUBMARKET_1;MARKET_NAME;INDUSTRY_NAME
32400485;016294-3            ;1;46;47;20140812;37;751654;8;1001;1001;一区市场;喜庆工艺
32400486;shop_112513         ;2;1;3;20140812;3;766743;23;1003;1003;二区市场;锁具
32400487;0434767A4           ;1;2;3;20140812;3;782308;78;1006;1006;四区市场;日用百货
32400488;0445979             ;10;142;152;20140812;17;796515;131;1006;1006;四区市场;皮带/配件
32400489;0442581A            ;1;1;2;20140812;2;794805;80;1006;1006;四区市场;鞋类
32400490;01A9255             ;10;32;42;20140812;18;754495;505;1001;1001;一区市场;生产企业直销中心(玩具·花类·饰品及配件·工艺品)
32400491;0570461             ;0;9;9;20140812;9;100005278;600;1007;1007;五区市场;网商服务
32400492;0441292B            ;1;10;11;20140812;6;793318;46;1006;1006;四区市场;花边
32400493;0326703             ;1;2;3;20140812;3;780248;109;1004;1004;三区市场;化妆品配件
32400494;0438314             ;1;6;7;20140812;7;785332;133;1006;1006;四区市场;帽子
32400495;01A2521A            ;2;2;4;20140812;3;757676;115;1001;1001;一区市场;玩具
32400496;0321117             ;0;2;2;20140812;2;772131;107;1004;1004;三区市场;笔墨纸制品
32400497;shop_117044         ;0;22;22;20140812;12;769718;68;1004;1004;三区市场;办公学习用品
32400498;shop_99653          ;0;4;4;20140812;4;763253;17;1003;1003;二区市场;五金工具/配件
32400499;0444321A            ;0;3;3;20140812;3;794141;80;1006;1006;四区市场;鞋类
32400500;0218779             ;2;2;4;20140812;4;770946;22;1003;1003;二区市场;钟表
32400501;01A9225             ;2;1;3;20140812;2;749110;505;1001;1001;一区市场;生产企业直销中心(玩具·花类·饰品及配件·工艺品)
32400502;0216972             ;1;13;14;20140812;14;773909;19;1003;1003;二区市场;小家电
32400503;01A3834A            ;0;3;3;20140812;3;755425;6;1001;1001;一区市场;头饰
32400504;0447213             ;0;3;3;20140812;3;797233;88;1006;1006;四区市场;围巾
32400505;01A8223B2           ;1;2;3;20140812;3;749181;13;1001;1001;一区市场;旅游工艺
32400506;0219368             ;1;3;4;20140812;4;764390;31;1003;1003;二区市场;五金电器
32400507;01A5539B            ;29;108;137;20140812;34;759979;7;1001;1001;一区市场;珠宝首饰
32400508;Y2-0499A            ;1;1;2;20140812;2;806397;142;1008;1008;篁园服装市场;男装
32400510;0326051             ;0;5;5;20140812;5;773432;119;1004;1004;三区市场;美容美发用品
32400511;shop_115538         ;4;17;21;20140812;16;100008519;522;1007;1007;五区市场;小商品配送
32400512;0435343B            ;2;11;13;20140812;12;781996;78;1006;1006;四区市场;日用百货
32400513;0321127             ;0;9;9;20140812;9;767661;107;1004;1004;三区市场;笔墨纸制品
32400514;shop_109834         ;1;2;3;20140812;3;758111;7;1001;1001;一区市场;珠宝首饰
32400515;0442229             ;4;25;29;20140812;23;786339;51;1006;1006;四区市场;毛巾
32400516;0324814A            ;0;8;8;20140812;4;772464;68;1004;1004;三区市场;办公学习用品
32400517;0217941B            ;2;33;35;20140812;27;765499;21;1003;1003;二区市场;电子仪器/照相器材
32400518;Y4-0201             ;0;2;2;20140812;2;808001;147;1008;1008;篁园服装市场;睡衣
32400519;0560334             ;1;1;2;20140812;2;802314;180;1007;1007;五区市场;进口商品馆-食品保健品
32400520;01A2570             ;0;1;1;20140812;1;813669;115;1001;1001;一区市场;玩具
32400521;0446051             ;0;1;1;20140812;1;795949;131;1006;1006;四区市场;皮带/配件
32400522;0219513             ;0;5;5;20140812;2;763919;516;1003;1003;二区市场;箱包
32400523;02169641            ;0;6;6;20140812;4;758698;19;1003;1003;二区市场;小家电
32400524;0217870             ;2;10;12;20140812;11;773502;21;1003;1003;二区市场;电子仪器/照相器材
32400525;NM10854A            ;3;6;9;20140812;5;100003114;10666;2002;2002;义乌副食品市场;酒、饮料、水果罐头类
32400526;0570781             ;0;1;1;20140812;1;100005339;600;1007;1007;五区市场;网商服务
32400527;0326573             ;4;186;190;20140812;103;769062;109;1004;1004;三区市场;化妆品配件
32400528;Y5-0051A            ;23;161;184;20140812;77;808006;148;1008;1008;篁园服装市场;童装
32400529;0325417             ;0;8;8;20140812;7;779563;68;1004;1004;三区市场;办公学习用品
32400530;01A1439             ;1;7;8;20140812;6;757919;115;1001;1001;一区市场;玩具
32400531;0440821             ;0;1;1;20140812;1;784357;74;1006;1006;四区市场;线带
32400532;0321152             ;1;5;6;20140812;4;778476;107;1004;1004;三区市场;笔墨纸制品
32400533;0213992B            ;0;2;2;20140812;2;766003;17;1003;1003;二区市场;五金工具/配件
32400534;shop_96557          ;0;6;6;20140812;6;772448;17;1003;1003;二区市场;五金工具/配件
32400535;0435815             ;0;44;44;20140812;26;784747;78;1006;1006;四区市场;日用百货
32400536;0326322             ;2;6;8;20140812;5;795565;81;1004;1004;三区市场;化妆品
32400537;0217594             ;12;27;39;20140812;15;765808;20;1003;1003;二区市场;电讯器材
32400538;0448584             ;0;6;6;20140812;6;790019;86;1006;1006;四区市场;文胸内衣
32400539;0219021             ;2;3;5;20140812;4;760581;28;1003;1003;二区市场;香港馆
32400540;01A2100B            ;0;5;5;20140812;4;757172;115;1001;1001;一区市场;玩具
32400541;0442586A            ;1;2;3;20140812;2;791663;80;1006;1006;四区市场;鞋类
32400542;01AAA65A            ;0;3;3;20140812;3;749662;1;1001;1001;一区市场;花类
32400543;0445758             ;0;2;2;20140812;2;793517;131;1006;1006;四区市场;皮带/配件
32400544;01A5518             ;2;3;5;20140812;5;758010;7;1001;1001;一区市场;珠宝首饰
32400545;shop_110998         ;1;1;2;20140812;2;790553;133;1006;1006;四区市场;帽子
32400546;0562285             ;0;1;1;20140812;1;800779;63;1007;1007;五区市场;床上用品
